Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-392,1,3544,3544,3608,5,64,59,0
Process-393,5,2589,2589,2612,10,23,13,0
Process-394,5,546,546,601,5,55,50,0
Process-395,1,945,945,957,1,12,11,0
Process-396,4,608,608,646,10,38,28,0
Process-397,3,2487,2487,2497,9,10,1,0
Process-398,3,2883,2883,2896,1,13,12,0
Process-399,1,4435,4435,4541,6,106,100,0
Process-400,4,3658,3658,3673,3,15,12,0
Process-401,1,3098,3098,3164,3,66,63,0
Process-402,3,3396,3396,3461,3,65,62,0
Process-403,4,1016,1016,1071,4,55,51,0
Process-404,3,1133,1133,1199,1,66,65,0
Process-405,1,5224,5224,5276,3,52,49,0
Process-406,2,3045,3045,3108,10,63,53,0
Process-407,4,4988,4988,5043,8,55,47,0
Process-408,1,4394,4394,4465,5,71,66,0
Process-409,2,1741,1741,1805,1,64,63,0
Process-410,1,3432,3432,3537,7,105,98,0
Process-411,5,4950,4950,5029,3,79,76,0
Process-412,5,179,179,235,5,56,51,0
Process-413,2,1968,1968,2041,3,73,70,0
Process-414,2,197,197,249,3,52,49,0
Process-415,3,2018,2018,2079,8,61,53,0
Process-416,1,3266,3266,3313,5,47,42,0
Process-417,5,5290,5290,5351,10,61,51,0
Process-418,1,3057,3057,3130,6,73,67,0
Process-419,3,4519,4519,4651,4,132,128,0
Process-420,4,2620,2620,2641,1,21,20,0
Process-421,1,2270,2270,2278,7,8,1,0
Process-422,2,1134,1134,1201,2,67,65,0
Process-423,2,2880,2880,2895,9,15,6,0
Process-424,5,5422,5422,5438,7,16,9,0
Process-425,2,2651,2651,2691,4,40,36,0
Process-426,3,3891,3891,3902,8,11,3,0
Process-427,1,160,160,213,6,53,47,0
Process-428,3,4893,4893,4985,6,92,86,0
Process-429,1,4880,4880,4963,6,83,77,0
Process-430,5,2056,2056,2127,3,71,68,0
Process-431,1,442,442,498,8,56,48,0
Process-432,2,2391,2391,2400,3,9,6,0
Process-433,3,2500,2500,2517,6,17,11,0
Process-434,3,2767,2767,2793,9,26,17,0
Process-435,3,5139,5139,5209,6,70,64,0
Process-436,1,529,529,576,9,47,38,0
Process-437,4,1842,1842,1958,6,116,110,0
Process-438,2,3821,3821,3833,6,12,6,0
Process-439,4,3430,3430,3530,6,100,94,0
Process-440,2,2064,2064,2138,7,74,67,0
Process-441,1,4433,4433,4535,10,102,92,0
Process-442,2,5299,5299,5367,9,68,59,0
Process-443,2,1583,1583,1624,4,41,37,0
Process-444,2,4669,4669,4778,9,109,100,0
Process-445,1,4341,4341,4408,7,67,60,0
Process-446,4,4060,4060,4081,4,21,17,0
Process-447,2,4053,4053,4068,5,15,10,0
Process-448,3,610,610,650,4,40,36,0
Process-449,4,4380,4380,4453,9,73,64,0
Process-450,2,1170,1170,1237,5,67,62,0
Process-451,4,3452,3452,3550,8,98,90,0
Process-452,4,3519,3519,3590,2,71,69,0
Process-453,4,1290,1290,1421,10,131,121,0
Process-454,2,2875,2875,2886,3,11,8,0
Process-455,4,2056,2056,2124,9,68,59,0
Process-456,3,3633,3633,3665,1,32,31,0
Process-457,3,3,3,6,3,3,0,0
Process-458,2,4218,4218,4236,6,18,12,0
Process-459,4,153,153,196,3,43,40,0
Process-460,2,1719,1719,1797,8,78,70,0
Process-461,3,3302,3302,3348,8,46,38,0
Process-462,1,2583,2583,2592,9,9,0,0
Process-463,3,711,711,726,3,15,12,0
Process-464,1,5462,5462,5470,2,8,6,0
Process-465,1,442,442,501,3,59,56,0
Process-466,2,904,904,906,2,2,0,0
Process-467,5,4057,4057,4077,9,20,11,0
Process-468,5,741,741,774,9,33,24,0
Process-469,3,2779,2779,2813,9,34,25,0
Process-470,4,3302,3302,3356,8,54,46,0
Process-471,2,4163,4163,4191,3,28,25,0
Process-472,2,349,349,422,5,73,68,0
Process-473,1,3263,3263,3308,1,45,44,0
Process-474,5,3729,3729,3736,7,7,0,0
Process-475,3,3290,3290,3337,5,47,42,0
Process-476,3,4707,4707,4814,5,107,102,0
Process-477,4,4778,4778,4885,4,107,103,0
Process-478,5,5181,5181,5261,7,80,73,0
Process-479,5,1603,1603,1651,2,48,46,0
Process-480,2,2626,2626,2647,6,21,15,0
Process-481,5,2350,2350,2374,8,24,16,0
Process-482,1,5046,5046,5127,6,81,75,0
Process-483,3,66,66,85,9,19,10,0
Process-484,3,1940,1940,2032,7,92,85,0
Process-485,1,2833,2833,2857,8,24,16,0
Process-486,1,1127,1127,1194,4,67,63,0
Process-487,2,189,189,241,6,52,46,0
Process-488,3,4653,4653,4762,8,109,101,0
Process-489,1,1132,1132,1198,4,66,62,0
Process-490,3,1870,1870,1986,6,116,110,0
Process-491,4,3612,3612,3648,5,36,31,0
Process-492,4,3434,3434,3539,2,105,103,0
Process-493,3,288,288,361,2,73,71,0
Process-494,4,3692,3692,3704,10,12,2,0
Process-495,1,4496,4496,4615,7,119,112,0
Process-496,3,4275,4275,4314,3,39,36,0
Process-497,2,3324,3324,3369,2,45,43,0
Process-498,5,1215,1215,1316,7,101,94,0
Process-499,3,2034,2034,2091,2,57,55,0
Process-500,5,2147,2147,2195,10,48,38,0
Process-501,5,3603,3603,3639,9,36,27,0
Process-502,1,3926,3926,3929,3,3,0,0
Process-503,3,4441,4441,4542,1,101,100,0
Process-504,4,3198,3198,3252,7,54,47,0
Process-505,3,5293,5293,5356,5,63,58,0
Process-506,3,456,456,512,4,56,52,0
Process-507,1,2286,2286,2299,7,13,6,0
Process-508,3,1254,1254,1362,5,108,103,0
Process-509,2,3830,3830,3854,8,24,16,0
Process-510,5,4369,4369,4439,9,70,61,0
Process-511,3,3967,3967,4015,6,48,42,0
Process-512,4,916,916,920,2,4,2,0
Process-513,2,3214,3214,3270,9,56,47,0
Process-514,5,1441,1441,1505,4,64,60,0
Process-515,5,2165,2165,2198,1,33,32,0
Process-516,1,4094,4094,4116,9,22,13,0
Process-517,3,1602,1602,1649,8,47,39,0
Process-518,1,3312,3312,3357,1,45,44,0
Process-519,5,165,165,219,6,54,48,0
Process-520,4,1657,1657,1685,8,28,20,0
Process-521,4,3669,3669,3681,2,12,10,0
Process-522,4,975,975,987,9,12,3,0
Process-523,2,1769,1769,1856,4,87,83,0
Process-524,1,3126,3126,3201,4,75,71,0
Process-525,4,2950,2950,2959,9,9,0,0
Process-526,5,1373,1373,1463,7,90,83,0
Process-527,3,2329,2329,2348,6,19,13,0
Process-528,5,3031,3031,3086,7,55,48,0
Process-529,5,1121,1121,1190,8,69,61,0
Process-530,5,4382,4382,4457,4,75,71,0
Process-531,1,2415,2415,2425,4,10,6,0
Process-532,5,5137,5137,5203,4,66,62,0
Process-533,5,3232,3232,3293,4,61,57,0
Process-534,4,1286,1286,1411,4,125,121,0
Process-535,3,2122,2122,2176,1,54,53,0
Process-536,2,3041,3041,3093,4,52,48,0
Process-537,5,1597,1597,1641,4,44,40,0
Process-538,3,1356,1356,1456,5,100,95,0
Process-539,4,3483,3483,3560,2,77,75,0
Process-540,2,196,196,246,5,50,45,0
Process-541,2,4022,4022,4047,3,25,22,0
Process-542,2,5344,5344,5400,1,56,55,0
Process-543,4,2567,2567,2573,4,6,2,0
Process-544,4,3613,3613,3652,4,39,35,0
Process-545,1,4291,4291,4336,1,45,44,0
Process-546,1,4601,4601,4717,6,116,110,0
Process-547,1,3330,3330,3379,10,49,39,0
Process-548,5,238,238,308,1,70,69,0
Process-549,3,155,155,207,4,52,48,0
Process-550,3,1673,1673,1710,10,37,27,0
Process-551,2,5447,5447,5457,10,10,0,0
Process-552,1,795,795,839,6,44,38,0
Process-553,2,5477,5477,5498,10,21,11,0
Process-554,4,5468,5468,5485,2,17,15,0
Process-555,2,1976,1976,2055,2,79,77,0
Process-556,2,3461,3461,3558,1,97,96,0
Process-557,3,2774,2774,2804,3,30,27,0
Process-558,3,4333,4333,4370,5,37,32,0
Process-559,4,779,779,824,8,45,37,0
Process-560,4,239,239,313,5,74,69,0
Process-561,4,494,494,540,1,46,45,0
Process-562,3,1149,1149,1223,6,74,68,0
Process-563,5,3403,3403,3469,8,66,58,0
Process-564,1,4038,4038,4062,3,24,21,0
Process-565,2,4285,4285,4326,8,41,33,0
Process-566,1,3008,3008,3051,8,43,35,0
Process-567,1,4420,4420,4504,5,84,79,0
Process-568,1,3059,3059,3136,6,77,71,0
Process-569,3,3415,3415,3505,3,90,87,0
Process-570,5,3256,3256,3307,4,51,47,0
Process-571,2,1923,1923,2021,2,98,96,0
Process-572,3,1462,1462,1516,4,54,50,0
Process-573,4,3422,3422,3524,10,102,92,0
Process-574,2,4420,4420,4513,9,93,84,0
Process-575,2,4402,4402,4475,10,73,63,0
Process-576,5,3100,3100,3174,10,74,64,0
Process-577,4,3522,3522,3593,3,71,68,0
Process-578,1,426,426,453,1,27,26,0
Process-579,3,4450,4450,4550,6,100,94,0
Process-580,3,2177,2177,2207,5,30,25,0
Process-581,3,3875,3875,3878,3,3,0,0
Process-582,5,3876,3876,3882,4,6,2,0
Process-583,1,1794,1794,1873,4,79,75,0
Process-584,2,3232,3232,3289,4,57,53,0
Process-585,1,3143,3143,3218,8,75,67,0
Process-586,4,2935,2935,2936,1,1,0,0
