Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-412,4,4599,4599,4634,7,35,28,0
Process-413,1,4970,4970,5048,7,78,71,0
Process-414,1,2970,2970,3101,6,131,125,0
Process-415,5,4840,4840,4850,10,10,0,0
Process-416,1,5293,5293,5314,8,21,13,0
Process-417,2,1160,1160,1202,5,42,37,0
Process-418,2,1681,1681,1928,9,247,238,0
Process-419,1,3549,3549,3880,9,331,322,0
Process-420,2,1611,1611,1785,8,174,166,0
Process-421,1,3112,3112,3215,4,103,99,0
Process-422,5,2098,2098,2218,5,120,115,0
Process-423,1,5092,5092,5160,8,68,60,0
Process-424,1,4689,4689,4733,9,44,35,0
Process-425,2,1044,1044,1142,10,98,88,0
Process-426,4,3441,3441,3610,6,169,163,0
Process-427,2,5404,5404,5443,9,39,30,0
Process-428,4,3074,3074,3120,2,46,44,0
Process-429,4,2961,2961,3040,3,79,76,0
Process-430,4,193,193,230,5,37,32,0
Process-431,1,1748,1748,2009,10,261,251,0
Process-432,4,2270,2270,2433,6,163,157,0
Process-433,3,5365,5365,5374,1,9,8,0
Process-434,2,3279,3279,3310,1,31,30,0
Process-435,3,2090,2090,2245,7,155,148,0
Process-436,1,1809,1809,1892,3,83,80,0
Process-437,5,2540,2540,2615,3,75,72,0
Process-438,5,217,217,248,4,31,27,0
Process-439,3,2523,2523,2575,2,52,50,0
Process-440,1,1972,1972,2031,2,59,57,0
Process-441,4,4615,4615,4654,8,39,31,0
Process-442,1,2342,2342,2543,8,201,193,0
Process-443,3,1712,1712,1831,5,119,114,0
Process-444,3,1302,1302,1372,6,70,64,0
Process-445,4,2007,2007,2149,5,142,137,0
Process-446,5,5162,5162,5207,8,45,37,0
Process-447,1,1194,1194,1233,4,39,35,0
Process-448,3,2143,2143,2287,6,144,138,0
Process-449,5,3337,3337,3518,6,181,175,0
Process-450,3,3507,3507,3782,8,275,267,0
Process-451,2,328,328,399,10,71,61,0
Process-452,1,1518,1518,1547,2,29,27,0
Process-453,1,3956,3956,4122,5,166,161,0
Process-454,1,4879,4879,4915,7,36,29,0
Process-455,1,1914,1914,1943,1,29,28,0
Process-456,2,1559,1559,1606,3,47,44,0
Process-457,2,4777,4777,4790,8,13,5,0
Process-458,3,201,201,223,2,22,20,0
Process-459,5,1998,1998,2172,6,174,168,0
