Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-256,5,175,175,184,4,9,5,0
Process-257,5,1961,1961,1964,3,3,0,0
Process-258,4,173,173,180,7,7,0,0
Process-259,4,2737,2737,2753,10,16,6,0
Process-260,3,1615,1615,1617,2,2,0,0
Process-261,2,4719,4719,4732,2,13,11,0
Process-262,1,3533,3533,3545,5,12,7,0
Process-263,1,2093,2093,2180,3,87,84,0
Process-264,3,4569,4569,4591,4,22,18,0
Process-265,1,2033,2033,2035,2,2,0,0
Process-266,1,2353,2353,2391,6,38,32,0
Process-267,2,5018,5018,5040,6,22,16,0
Process-268,4,1092,1092,1098,6,6,0,0
Process-269,2,1429,1429,1436,4,7,3,0
Process-270,3,2773,2773,2793,2,20,18,0
Process-271,2,3228,3228,3236,8,8,0,0
Process-272,5,4022,4022,4026,4,4,0,0
Process-273,3,4289,4289,4297,8,8,0,0
Process-274,3,3334,3334,3338,4,4,0,0
Process-275,1,3240,3240,3293,7,53,46,0
Process-276,4,152,152,159,7,7,0,0
Process-277,5,4461,4461,4469,1,8,7,0
Process-278,4,964,964,986,5,22,17,0
Process-279,4,809,809,813,3,4,1,0
Process-280,2,4755,4755,4757,2,2,0,0
Process-281,2,3976,3976,4001,4,25,21,0
Process-282,4,2903,2903,2908,5,5,0,0
Process-283,3,4228,4228,4231,3,3,0,0
Process-284,1,1504,1504,1505,1,1,0,0
Process-285,4,5361,5361,5366,2,5,3,0
Process-286,4,3319,3319,3322,2,3,1,0
Process-287,3,3796,3796,3818,7,22,15,0
Process-288,4,23,23,28,5,5,0,0
Process-289,4,1866,1866,1868,2,2,0,0
Process-290,4,4314,4314,4323,9,9,0,0
Process-291,2,4632,4632,4676,2,44,42,0
Process-292,3,1950,1950,1955,5,5,0,0
Process-293,3,735,735,744,7,9,2,0
Process-294,3,804,804,833,7,29,22,0
Process-295,1,2902,2902,2939,8,37,29,0
Process-296,4,2100,2100,2117,7,17,10,0
Process-297,1,4411,4411,4423,5,12,7,0
Process-298,1,4628,4628,4748,8,120,112,0
Process-299,1,1455,1455,1457,2,2,0,0
Process-300,2,47,47,68,10,21,11,0
Process-301,5,3960,3960,3976,10,16,6,0
Process-302,1,1412,1412,1444,8,32,24,0
Process-303,5,589,589,592,3,3,0,0
Process-304,5,4194,4194,4197,1,3,2,0
Process-305,2,661,661,675,7,14,7,0
Process-306,3,3159,3159,3169,5,10,5,0
Process-307,1,1355,1355,1377,8,22,14,0
Process-308,3,5092,5092,5112,2,20,18,0
Process-309,3,3546,3546,3548,2,2,0,0
Process-310,2,5389,5389,5394,5,5,0,0
Process-311,1,462,462,548,2,86,84,0
Process-312,1,789,789,810,8,21,13,0
Process-313,2,4388,4388,4395,7,7,0,0
